Department,Crse,Title,Days,Time,Act,Instructor,Location,Type
AAE,36401,Control Systems Laboratory,R,11:30 am-01:20 pm,13,Robert E Pritchett (P),ARMS 3106,Laboratory
AAE,36401,Control Systems Laboratory,T,11:30 am-01:20 pm,13,Robert E Pritchett (P),ARMS 3106,Laboratory
AAE,36401,Control Systems Laboratory,R,09:30 am-11:20 am,11,Abi Chandra Komanduru (P),ARMS 3106,Laboratory
AAE,36401,Control Systems Laboratory,T,09:30 am-11:20 am,12,Abi Chandra Komanduru (P),ARMS 3106,Laboratory
AAE,36401,Control Systems Laboratory,M,12:30 pm-01:20 pm,86,"Arthur E Frazho (P), Abi Chandra Komanduru , David William Kun , Rochelle Nyonchan Mellish , Robert E Pritchett",MSEE B012,Laboratory Preparation
AAE,37200,Jet Propulsion Power Plants,MWF,04:30 pm-05:20 pm,70,Christopher Allen Fugger (P),PHYS 112,Lecture
AAE,40000,Undergraduate Senior Seminar,R,01:30 pm-02:20 pm,83,Taylor M Weast (P),ARMS 1010,Lecture
AAE,41800,Zero-Gravity Flight Experiment,W,01:30 pm-02:20 pm,26,Steven H Collicott (P),ARMS 1021,Lecture
AAE,41800,Zero-Gravity Flight Experiment,MWF,12:30 pm-01:20 pm,26,Steven H Collicott (P),ARMS 1021,Laboratory
AAE,42100,Flight Dynamics And Control,MWF,07:30 am-08:20 am,52,Dominick Andrisani (P),ARMS 1109,Lecture
AAE,45000,Spacecraft Design,TR,11:30 am-12:20 pm,51,James M Longuski (P),ARMS B071,Lecture
AAE,45000,Spacecraft Design,R,07:30 am-10:20 am,51,James M Longuski (P),ARMS 1109,Laboratory
AAE,45000,Spacecraft Design,T,03:30 pm-05:20 pm,2,Timothee Louis Pourpoint (P),CHAF 101,Lecture
AAE,45000,Spacecraft Design,R,03:00 pm-05:50 pm,2,Timothee Louis Pourpoint (P),CHAF 101,Laboratory
AAE,45100,Aircraft Design,TR,09:30 am-10:20 am,60,William A Crossley (P),FRNY B124,Lecture
AAE,45100,Aircraft Design,T,01:30 pm-04:20 pm,60,William A Crossley (P),FRNY B124,Laboratory
AAE,45100,Aircraft Design,F,10:30 am-01:20 pm,1,John P Sullivan (P),ARMS 3118,Laboratory
AAE,45100,Aircraft Design,MW,11:00 am-11:50 am,1,John P Sullivan (P),ARMS 3118,Lecture
AAE,45300,Matrix Methods In Aerospace Structures,MWF,04:30 pm-05:20 pm,24,Vikas Tomar (P),ARMS 1021,Lecture
AAE,45400,Design Of Aerospace Structures,MWF,11:30 am-12:20 pm,39,Alten F Grandt (P),ARMS 1021,Lect
AAE,49000,Flight Test,MWF,09:30 am-10:20 am,28,Dominick Andrisani (P),ARMS 1021,Lecture
AAE,51200,Computational Aerodynamics,MWF,01:30 pm-02:20 pm,44,Tom I-P Shih (P),WANG 2579,Lecture
AAE,51400,Intermediate Aerodynamics,TR,09:00 am-10:15 am,45,Sally Pm Bane (P),WANG 2579,Lecture
AAE,52000,Experimental Aerodynamics,W,10:30 am-01:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,W,01:30 pm-04:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,M,10:30 am-01:20 pm,1,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,R,01:30 pm-04:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,T,01:30 pm-04:20 pm,0,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,T,10:30 am-01:20 pm,1,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,R,10:30 am-01:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,F,01:30 pm-04:20 pm,1,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,M,01:30 pm-04:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,F,10:30 am-01:20 pm,2,Steven P Schneider (P),AERO 028,Laboratory
AAE,52000,Experimental Aerodynamics,W,04:30 pm-05:20 pm,15,Steven P Schneider (P),NISW 184,Lecture
AAE,52000,Experimental Aerodynamics,M,04:30 pm-05:20 pm,15,Steven P Schneider (P),NISW 184,Recitation
AAE,53500,"Propulsion Design, Build, Test",R,03:30 pm-05:20 pm,11,Timothee Louis Pourpoint (P),CHAF 101,Lecture
AAE,53500,"Propulsion Design, Build, Test",T,03:30 pm-05:20 pm,11,Timothee Louis Pourpoint (P),CHAF 101,Laboratory
AAE,53900,Advanced Rocket Propulsion,MWF,01:30 pm-02:20 pm,35,Stephen D Heister (P),ARMS 1109,Lecture
AAE,55200,Nondestructive Evaluation Of Structures And Materials,MWF,09:30 am-10:20 am,22,Alten F Grandt (P),WANG 2599,Lecture
AAE,55500,Mechanics Of Composite Materials,MWF,11:30 am-12:20 pm,34,Johnathan Eugene Goodsell (P),WANG 2599,Lecture
AAE,56000,System-Of-Systems Modeling And Analysis,TR,10:30 am-11:45 am,32,Daniel A Delaurentis (P),WANG 2579,Lecture
AAE,56700,Introduction To Applied Stochastic Processes,MWF,11:30 am-12:20 pm,18,Arthur E Frazho (P),ARMS 3115,Lecture
AAE,56800,Applied Optimal Control And Estimation,MWF,02:30 pm-03:20 pm,22,Inseok Hwang (P),ARMS 3115,Lecture
AAE,59000,Design Build Test,MWF,03:30 pm-04:20 pm,8,John P Sullivan (P),ARMS 1021,Lecture
AAE,59000,Mechanical Behavior Of Matl,TR,10:30 am-11:45 am,17,Michael D Sangid (P),ARMS 1021,Lecture
AAE,59000,Dynamic Behavior Of Materials,TR,01:30 pm-02:45 pm,5,Weinong W Chen (P),ARMS 3115,Lecture
AAE,59000,Hypersonic Perf And Design,MWF,01:30 pm-02:20 pm,15,Michael James Grant (P),ARMS 3115,Lecture
AAE,59000,Plasmas And Elect Discharges,TR,10:30 am-11:45 am,26,Sergey O Macheret (P),ARMS 3115,Lecture
AAE,59000,Practical Systems Thinking,MWF,09:30 am-10:20 am,30,Daniel Louis Dumbacher (P),EE 234,Lecture
AAE,59000,Systems Tools & Methodologies,MWF,11:30 am-12:20 pm,14,Charles Robert Kenley (P),MSEE B010,Lecture
AAE,59500,Aerospace Seminar,TR,03:00 pm-04:15 pm,0,Inseok Hwang (P),ARMS 1109,Lecture
AAE,60700,Variational Principles Of Mechanics,MWF,09:30 am-10:20 am,9,James M Longuski (P),WANG 2555,Lecture
AAE,62600,Turbulence And Turbulence Modeling,MWF,12:30 pm-01:20 pm,49,Gregory A Blaisdell (P),WANG 2555,Lecture
AAE,65400,Fracture Mechanics,TR,12:00 pm-01:15 pm,23,Chin-Teh Sun (P),ARMS 1021,Lecture
AAE,66600,"Nonlinear Dynamics, Systems, And Control",TR,01:30 pm-02:45 pm,28,Martin Corless (P),ARMS 1021,Lecture
AAE,69000,Multiscale Structural Mechnics,TR,01:30 pm-02:45 pm,13,Wenbin Yu (P),HAMP 3153,Lecture
