Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
AAE,33401,1,PWL,1,Aerodynamics Laboratory,T,11:30 am-01:20 pm,10,10,0,0,0,0,0,0,0,"William John O'Neill (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,2,PWL,1,Aerodynamics Laboratory,R,11:30 am-01:20 pm,10,10,0,0,0,0,0,0,0,"Saad Tanvir (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,3,PWL,1,Aerodynamics Laboratory,R,03:30 pm-05:20 pm,10,8,2,0,0,0,0,0,0,"Prashanth Bangalore venkatesh (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,4,PWL,1,Aerodynamics Laboratory,T,03:30 pm-05:20 pm,10,8,2,0,0,0,0,0,0,"Saverio Joseph Rotella (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,5,PWL,1,Aerodynamics Laboratory,R,07:30 am-09:20 am,10,3,7,0,0,0,0,0,0,"William John O'Neill (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,6,PWL,1,Aerodynamics Laboratory,T,09:30 am-11:20 am,10,10,0,0,0,0,0,0,0,"William John O'Neill (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,8,PWL,1,Aerodynamics Laboratory,R,01:30 pm-03:20 pm,10,10,0,0,0,0,0,0,0,"Bhavini Singh (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,10,PWL,1,Aerodynamics Laboratory,R,09:30 am-11:20 am,10,9,1,0,0,0,0,0,0,"William John O'Neill (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,33401,11,PWL,0,Aerodynamics Laboratory,M,01:30 pm-02:20 pm,90,78,12,0,0,0,0,0,0,Sally Pm Bane (P),01/12-05/02,FRNY G140,Laboratory Preparation
AAE,33401,12,PWL,1,Aerodynamics Laboratory,T,01:30 pm-03:20 pm,10,10,0,0,0,0,0,0,0,"Ethan A Mcmillan (P), Sally Pm Bane",01/12-05/02,ARMS 3098,Laboratory
AAE,34000,1,PWL,3,Dynamics And Vibrations,MWF,10:30 am-11:20 am,100,96,4,0,0,0,0,0,0,Kathleen Howell (P),01/12-05/02,ARMS 1010,Lecture
AAE,35200,1,PWL,3,Structural Analysis I,MWF,08:30 am-09:20 am,45,46,-1,0,0,0,0,0,0,Chin-Teh Sun (P),01/12-05/02,ARMS B071,Lect
AAE,35201,2,PWL,1,Structural Analysis I Laboratory,F,01:30 pm-03:20 pm,16,0,16,0,0,0,0,0,0,Ning Liu (P),01/12-05/02,ARMS 3106,Laboratory
AAE,35201,3,PWL,1,Structural Analysis I Laboratory,T,09:30 am-11:20 am,16,16,0,0,0,0,0,0,0,Ning Liu (P),01/12-05/02,ARMS 3106,Laboratory
AAE,35201,5,PWL,1,Structural Analysis I Laboratory,R,03:30 pm-05:20 pm,16,4,12,0,0,0,0,0,0,Ning Liu (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36400,1,PWL,3,Control System Analysis,MWF,09:30 am-10:20 am,130,105,25,0,0,0,0,0,0,"Inseok Hwang (P), Abhishek Bhavadip Vaidya",01/12-05/02,FRNY G140,Lecture
AAE,36401,1,PWL,1,Control Systems Laboratory,R,03:30 pm-05:20 pm,10,13,-3,0,0,0,0,0,0,David William Kun (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,3,PWL,1,Control Systems Laboratory,R,01:30 pm-03:20 pm,9,12,-3,0,0,0,0,0,0,Rochelle Nyonchan Mellish (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,4,PWL,1,Control Systems Laboratory,T,01:30 pm-03:20 pm,9,12,-3,0,0,0,0,0,0,Rochelle Nyonchan Mellish (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,5,PWL,1,Control Systems Laboratory,R,11:30 am-01:20 pm,9,13,-4,0,0,0,0,0,0,Robert E Pritchett (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,6,PWL,1,Control Systems Laboratory,T,11:30 am-01:20 pm,9,13,-4,0,0,0,0,0,0,Robert E Pritchett (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,7,PWL,1,Control Systems Laboratory,R,09:30 am-11:20 am,9,11,-2,0,0,0,0,0,0,Abi Chandra Komanduru (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,8,PWL,1,Control Systems Laboratory,T,09:30 am-11:20 am,10,12,-2,0,0,0,0,0,0,Abi Chandra Komanduru (P),01/12-05/02,ARMS 3106,Laboratory
AAE,36401,9,PWL,0,Control Systems Laboratory,M,12:30 pm-01:20 pm,65,86,-21,0,0,0,0,0,0,"Arthur E Frazho (P), Abi Chandra Komanduru , David William Kun , Rochelle Nyonchan Mellish , Robert E Pritchett",01/12-05/02,MSEE B012,Laboratory Preparation
AAE,37200,1,PWL,3,Jet Propulsion Power Plants,MWF,04:30 pm-05:20 pm,100,70,30,0,0,0,0,0,0,Christopher Allen Fugger (P),01/12-05/02,PHYS 112,Lecture
AAE,40000,1,PWL,1,Undergraduate Senior Seminar,R,01:30 pm-02:20 pm,90,83,7,0,0,0,0,0,0,Taylor M Weast (P),01/12-05/02,ARMS 1010,Lecture
AAE,41800,3,PWL,3,Zero-Gravity Flight Experiment,W,01:30 pm-02:20 pm,40,26,14,0,0,0,40,37,3,Steven H Collicott (P),01/12-05/02,ARMS 1021,Lecture
AAE,41800,5,PWL,0,Zero-Gravity Flight Experiment,MWF,12:30 pm-01:20 pm,40,26,14,0,0,0,40,37,3,Steven H Collicott (P),01/12-05/02,ARMS 1021,Laboratory
